kDa	P1:1	P1:2	P1:3	P1:4	P1:5	P1:6	P1:7	P2:1	P2:2	P2:3	P2:4	P2:5	P2:6	P2:7
10.281	4255.3888	119.0381	146.577	109.9089	127.6848	121.5605	244.8861	 	6.2285	5.1033	8.9591	24.4403	9.8976	6.0752
10.4877	5117.5561	107.6886	148.263	116.8086	131.0733	104.0942	228.5342	 	5.0428	4.5231	8.6429	30.622	5.1848	8.5589
10.6945	6112.7204	109.7595	162.0212	124.739	163.1997	113.1853	210.7583	 	5.5551	4.7149	6.0603	30.7375	5.7548	8.5633
10.9013	7063.304	118.2559	176.0306	134.5128	153.9415	136.1902	232.5294	 	3.2481	3.8853	3.0823	28.5346	10.4918	3.5621
11.108	8000.0397	135.7403	173.7838	148.4633	157.2099	146.2957	251.2359	 	4.3903	2.3891	5.9757	28.6908	2.0066	1.5625
11.3148	8871.0913	135.7477	158.4647	169.1226	161.5912	147.1856	269.2504	 	6.4823	3.0687	6.0813	26.6	1.5625	1.7274
11.5216	9616.3572	127.8422	155.9092	181.8008	148.5767	142.5151	269.3434	 	2.8025	7.445	2.4771	36.3081	2.5545	6.7517
11.7283	10186.7684	134.903	156.318	164.146	149.5879	141.6537	214.3581	 	3.5583	7.8608	2.046	37.0362	6.0691	4.2615
11.9351	10289.5181	132.4405	145.5553	131.5058	144.7296	139.4608	183.0942	 	5.8813	5.5077	4.3624	25.2189	6.4981	3.3206
12.1419	10134.055	138.8333	150.8854	118.9486	139.8377	169.0738	194.0088	 	5.8468	14.6975	6.5116	30.1064	4.0674	2.5981
12.3487	9746.9372	140.0383	147.0265	123.5156	143.7329	164.6666	194.3291	 	2.7648	15.4913	2.3156	32.8285	10.9915	2.9151
12.5554	9179.4728	150.7914	148.9641	117.8683	156.2182	162.6915	200.3109	 	3.2646	9.3568	4.2577	40.3674	9.2087	5.3113
12.7622	8396.7279	151.8578	162.1816	121.9411	182.1511	168.8293	217.3454	 	7.607	10.0213	6.7926	45.8916	12.079	5.8002
12.969	7515.0703	155.3629	171.1773	134.6682	203.5375	182.8738	197.476	 	9.5518	8.1814	7.8047	39.6565	8.5516	4.1695
13.1757	6559.0578	159.1816	184.5276	131.3521	194.3289	185.9464	176.4241	 	12.9282	14.8122	7.7202	32.1472	12.2728	10.478
13.3825	5595.0186	161.2458	177.92	126.5049	186.003	190.7915	181.804	 	17.4653	5.7147	13.2029	32.5917	15.4446	11.2897
13.5893	4752.6335	191.8247	187.396	123.7642	187.8592	201.5433	190.9698	 	15.1114	2.1996	15.5014	42.7104	5.664	5.7922
13.7961	4037.5767	226.3406	199.7021	155.7653	184.9226	235.2652	213.3205	 	11.9154	4.0356	14.3787	49.166	14.8759	3.1832
14.0028	3395.5805	224.9116	200.7538	175.1243	177.6085	229.0678	243.5046	 	8.9963	7.1754	10.8392	46.2978	11.351	3.7106
14.2096	2832.4213	208.8717	195.3739	164.8149	181.07	188.9694	254.9579	 	4.5515	9.3078	9.2105	47.0115	8.2548	3.937
14.4164	2326.5668	208.0048	194.944	157.9576	190.8695	170.8014	238.7488	 	8.9279	10.537	5.6412	45.0739	11.6347	1.5668
14.6231	1870.9515	203.3417	202.2272	143.4362	168.6811	170.4422	217.074	 	13.9563	11.3925	3.5038	38.8479	7.2471	1.7962
14.8299	1544.5738	189.6395	230.8139	132.2567	144.0048	183.6799	214.1317	 	10.5351	7.0847	8.0549	42.8801	3.0468	4.4752
15.0367	1256.6226	177.2151	242.4134	125.869	153.7961	200.8862	211.1043	 	9.1411	11.5999	10.4842	41.0804	9.6926	6.032
15.2434	1015.7836	164.7549	256.432	125.3886	149.8819	230.9805	197.3035	 	7.2664	15.1418	15.204	39.2025	8.6491	4.7467
15.4502	841.3005	166.8967	232.1471	131.9634	129.4097	251.5854	184.4729	 	5.3049	16.1614	14.6858	50.0346	8.7724	7.3594
15.657	704.0174	166.8341	219.6137	133.7395	122.2078	227.7293	194.6922	 	7.4757	14.9585	12.6156	45.3919	11.9552	7.2479
15.8638	597.8012	173.5497	212.185	129.7195	125.9662	211.3288	222.7355	 	9.0173	16.2944	12.314	42.2152	8.0568	4.5219
16.0705	524.3897	163.8355	207.1197	114.1999	136.397	211.2822	232.6243	 	8.233	21.4347	8.1493	42.8986	5.9768	2.6535
16.2773	455.0229	155.888	201.1491	106.0219	155.1578	214.9989	253.9307	 	13.6674	15.6842	8.1487	41.1752	7.0032	5.1551
16.4841	409.4061	146.1448	215.3138	92.6771	166.4059	247.1948	269.0525	 	11.0335	14.7934	7.3664	41.2471	12.2727	11.246
16.6908	375.3766	150.0994	240.6035	98.0527	154.4396	244.9165	274.179	 	8.8382	17.833	11.1018	47.1438	10.6942	8.8265
16.8976	348.6889	153.3355	224.1256	101.748	157.6139	248.3455	280.6939	 	16.0875	6.2297	12.6906	51.6177	8.0347	8.1562
17.1044	324.2077	154.9882	223.8426	114.1346	183.7891	248.7359	267.8929	 	15.4294	5.9895	13.4938	48.8083	13.1243	3.6226
17.3112	311.1798	168.2508	219.9773	125.4578	192.8859	225.0035	222.3516	 	13.7134	9.6072	13.1769	57.1899	13.0954	5.6489
17.5179	301.0469	167.6277	220.9934	122.0137	175.6634	227.2074	210.4557	 	9.844	14.1985	6.9003	57.4172	9.142	1.8369
17.7247	283.2376	191.1229	215.5123	116.0248	159.2036	231.1501	211.782	 	10.8699	12.6509	9.8048	53.5799	9.781	2.1575
17.9315	265.7217	183.2881	206.9632	113.6123	152.1733	191.8283	222.125	 	6.1794	14.3549	11.1928	60.1888	11.0516	4.9696
18.1382	244.0327	188.8184	215.7562	114.0021	125.9438	159.0403	193.1631	 	17.0088	10.2422	10.0462	55.3302	11.3067	6.7894
18.345	220.8441	235.2498	223.7561	111.7929	134.537	158.8142	176.2909	 	13.6401	5.3364	9.2477	60.4389	14.0067	2.0599
18.5518	212.1966	221.8759	253.7294	122.325	131.8323	155.9856	178.1705	 	9.2819	3.5448	9.917	68.3834	17.0506	4.209
18.7585	191.9867	198.9487	271.5807	135.5771	131.0418	166.8299	189.5733	 	15.3293	5.7039	9.2267	71.3748	13.0864	13.7704
18.9653	175.8234	167.366	268.4784	127.6525	152.8015	163.498	203.5054	 	12.7776	7.3514	10.98	71.1254	9.8224	9.5191
19.1721	150.7544	143.003	267.0124	123.2591	154.9041	163.4794	195.6437	 	8.0975	4.1571	15.9721	70.7482	8.2719	14.6285
19.3789	145.8208	140.7211	255.5324	133.4076	142.6921	170.4266	187.0214	 	11.9339	7.8807	10.3118	81.3767	5.3068	9.1609
19.5856	146.854	138.5921	246.0236	143.8434	154.8125	196.9332	197.0564	 	11.9815	18.7539	9.5744	80.7581	9.292	2.5667
19.7924	145.227	137.6888	242.8747	156.6572	174.0444	217.0334	206.5464	 	17.2635	21.8944	9.0755	91.407	11.4037	2.843
19.9992	130.8506	135.5722	230.9557	160.519	181.9648	216.6963	203.9726	 	17.3376	15.9817	9.5198	84.9001	22.6989	8.6098
20.2059	139.1957	149.4205	234.1073	160.2377	180.5891	240.1513	210.3352	 	22.8129	10.5204	12.0392	91.1165	16.4247	12.6152
20.4127	139.3895	159.5972	248.5353	171.9803	175.8815	258.7186	219.9122	 	17.6819	11.993	8.0278	93.5881	11.1824	6.3153
20.6195	136.7475	151.0389	257.8728	175.972	168.9829	292.18	230.4411	 	16.0647	12.5182	6.4535	101.5662	9.1459	4.3003
20.8263	131.7503	157.9601	283.8696	168.6809	167.3598	322.8734	286.2075	 	20.6848	8.7476	4.6751	92.7854	8.5836	5.6028
21.033	121.2419	166.5549	293.0565	161.3001	170.3805	294.8881	292.975	 	21.5776	12.8709	12.5412	105.1034	6.7474	9.4225
21.2398	112.6344	165.6015	291.1228	160.246	194.6677	242.5884	317.0828	 	17.3119	16.4401	13.791	105.1363	5.3765	9.3704
21.4466	108.8019	157.9906	297.7235	176.3958	208.7612	222.9	341.4454	 	14.887	20.6719	8.2103	116.725	10.1246	4.4054
21.6533	113.2211	145.6319	301.161	193.5283	216.9333	236.6425	391.1772	 	20.0242	18.8408	11.8572	116.6084	10.6561	4.7819
21.8601	123.8014	147.9174	338.6671	206.1506	247.0349	243.263	379.3407	 	22.6477	20.1242	15.7268	126.9176	14.1096	6.3358
22.0669	123.6434	147.4648	392.381	210.0332	250.6482	280.5032	356.6848	 	25.1813	12.7585	20.002	133.6797	10.8957	13.6876
22.2736	114.0494	144.3658	405.7904	192.8939	249.7307	311.513	344.9693	 	28.2642	22.8643	16.6179	140.3314	11.9635	13.0581
22.4804	121.3561	153.6312	393.0876	181.963	248.8086	313.6107	354.0581	 	27.6977	17.7064	20.889	152.5731	12.2887	4.8473
22.6872	135.8632	149.2861	328.6646	201.8242	255.5705	337.1975	364.8102	 	37.0112	20.9556	23.5778	149.2229	19.5198	8.9106
22.894	132.4193	142.9208	341.8367	213.1842	277.5708	351.502	342.9591	 	40.4887	23.0129	21.4595	153.825	24.1705	9.6534
23.1007	125.5791	151.0229	338.1602	210.9553	317.3561	331.6481	322.5585	 	44.459	21.1483	22.4522	160.7271	21.8823	10.2684
23.3075	129.2488	168.8613	339.3892	224.4219	332.4367	342.0776	294.7257	 	44.8727	25.5454	25.5556	171.1282	20.1215	11.4789
23.5143	122.5063	175.053	378.7203	253.8511	332.0095	369.0076	281.6913	 	47.2908	20.5544	16.8715	178.2525	14.346	5.4482
23.721	127.1158	177.0159	427.1658	278.4384	349.2042	394.5765	287.4403	 	41.6844	29.1399	16.0668	178.5595	17.9726	1.8341
23.9278	135.1939	202.2404	451.5226	250.5053	351.0729	395.9077	301.8281	 	57.6483	29.2184	22.8309	195.4789	21.1418	6.0436
24.1346	134.558	219.5078	424.326	248.1226	340.8237	362.2886	331.1769	 	52.9207	28.519	24.1828	203.9554	20.1331	4.3505
24.3414	131.2567	230.1839	420.1228	271.4671	336.4967	399.2539	376.2006	 	63.9059	28.6463	24.2435	203.5288	23.3168	2.3124
24.5481	139.5012	239.1568	455.4937	307.8982	335.3183	413.3976	377.2542	 	61.5337	32.8932	27.641	217.0906	25.4671	2.1163
24.7549	147.3278	247.723	517.9246	351.7886	326.1098	379.1672	340.0258	 	59.8012	28.1797	25.5375	224.506	25.1973	6.6549
24.9617	157.5866	243.3989	553.4233	312.1643	298.6667	361.5497	320.7431	 	67.551	32.1494	32.3747	229.1195	31.0824	6.6156
25.1684	159.5742	244.6879	554.8687	290.4436	288.2315	371.7921	346.455	 	82.7041	38.0133	31.2795	233.8019	26.6183	4.9033
25.3752	166.4448	242.6893	535.4361	310.5229	291.7609	376.8961	382.1346	 	75.047	38.7283	30.4638	230.7302	27.7962	8.6346
25.582	167.6985	244.7689	565.7125	330.0989	297.8973	366.7232	390.2663	 	69.9531	35.8705	32.61	230.4177	31.0624	8.4245
25.7887	158.9158	259.3308	594.3494	327.897	304.7862	356.2528	369.4363	 	68.7491	37.5778	36.0786	236.9454	25.7992	5.2572
25.9955	163.2731	258.963	555.5022	326.5195	293.9414	373.4358	365.1621	 	68.471	40.9546	31.2212	238.9645	25.6325	3.4783
26.2023	173.5443	267.2838	488.9888	336.9115	294.3685	432.7589	398.4563	 	77.129	40.3568	31.8386	231.3613	30.4402	6.2
26.4091	184.3581	300.6658	497.1744	387.9244	282.0404	456.0098	401.053	 	76.8884	40.6847	41.6188	243.8576	31.4368	10.7556
26.6158	190.7459	316.9907	487.1445	405.2214	307.4291	397.3951	386.5323	 	74.6538	44.2129	42.311	238.2936	30.3957	12.5591
26.8226	213.9062	309.4561	437.1944	348.3346	312.5464	362.1956	416.5245	 	77.5533	41.9526	33.3811	235.734	27.293	12.4481
27.0294	223.756	306.9879	412.3608	296.633	270.7914	354.4145	432.964	 	75.6949	39.6205	32.7853	249.438	26.8437	6.0504
27.2361	232.4248	313.9043	409.9459	268.1378	251.2336	321.7199	395.36	 	73.7854	32.9867	37.3892	249.2279	32.7624	9.6018
27.4429	227.7432	319.1054	406.3658	270.4291	232.5139	316.3757	370.0711	 	70.6678	28.4437	39.9909	239.1106	30.2585	17.3573
27.6497	217.3265	301.8987	413.8143	261.497	249.1876	282.819	412.2025	 	68.3665	30.724	31.1845	235.4042	28.5292	8.7029
27.8565	223.5923	291.3771	427.1036	233.7638	246.6255	258.7229	457.4915	 	66.8492	35.4298	34.5459	233.774	28.7568	3.5505
28.0632	210.1264	291.1926	432.0704	229.1304	228.8741	260.6096	430.8699	 	68.9342	40.0073	31.4189	237.3156	26.2849	5.7555
28.27	214.4455	281.6232	444.5742	240.6204	251.1228	271.8135	410.1593	 	68.5644	42.6229	24.4598	240.784	30.971	2.8438
28.4768	218.4439	267.7774	454.7788	254.4371	254.3824	262.9812	429.6597	 	68.4027	48.3714	34.0768	232.6138	31.016	3.2769
28.6835	223.3676	259.6632	464.0248	255.4205	225.6928	276.8601	399.2104	 	73.5838	47.7236	36.5649	236.3898	30.023	8.0783
28.8903	236.8535	272.3479	469.7519	261.8532	238.8806	293.2284	369.6966	 	71.347	41.7966	40.3722	249.1283	30.938	11.0518
29.0971	260.7767	293.9515	437.6682	274.1586	255.0324	302.4271	359.4727	 	72.0681	46.1667	41.5444	251.4949	24.6492	7.8975
29.3038	258.2234	295.9386	414.0144	267.1916	293.3964	312.7199	357.4181	 	78.2607	49.6421	37.8201	254.3444	29.7113	15.7921
29.5106	262.1118	284.7958	382.3795	259.6087	322.6886	338.0754	372.2989	 	79.9397	52.0364	43.6425	256.0844	24.2165	11.6003
29.7174	307.641	300.1034	393.0957	264.8863	309.4467	321.5171	399.0708	 	79.7151	50.1349	44.7619	253.9738	26.5431	7.3831
29.9242	339.6071	307.5201	386.5397	293.754	289.2823	322.9656	471.0472	 	81.1474	42.9611	42.1046	248.1785	31.3279	8.5839
30.1309	351.4324	327.4015	402.1032	321.0796	276.0532	345.8876	496.6932	 	77.7474	48.1427	40.9959	249.3413	29.9772	6.827
30.3377	372.0103	329.7744	414.4343	277.5299	297.6366	336.1309	476.6382	 	79.305	48.3791	45.0647	251.527	31.1777	10.5399
30.5445	398.3663	313.4743	444.3402	216.6965	311.1678	359.7242	450.9284	 	85.816	46.6602	48.6032	254.1712	31.5253	9.7844
30.7512	425.0183	290.8067	498.391	203.3479	302.2236	365.0984	415.5132	 	78.1392	48.7781	46.3037	252.2563	26.0073	7.1496
30.958	427.9569	277.895	479.5896	215.1551	289.7233	355.3018	398.7114	 	71.1049	57.6102	38.6422	258.5397	26.3354	5.4262
31.1648	431.7107	298.3528	443.7836	246.9647	297.6369	366.3283	423.6866	 	85.6542	54.671	43.588	257.9782	26.0061	7.9794
31.3716	439.5833	294.589	449.6821	266.5151	307.1831	354.5607	422.7271	 	84.8343	56.4784	45.3756	254.0354	38.3953	3.6484
31.5783	430.9791	295.8768	426.0228	291.4456	310.291	359.4787	440.8703	 	87.8869	63.1375	46.3506	274.3018	33.516	5.366
31.7851	445.5829	286.4893	447.9783	279.7268	311.1867	380.8114	440.4973	 	86.517	57.9117	44.2293	279.577	31.2632	9.2336
31.9919	410.7184	281.469	480.1647	275.7133	320.0194	432.0302	422.0484	 	94.2955	62.7538	56.2336	290.7559	30.8707	9.7537
32.1986	381.4076	291.6135	480.26	275.3511	310.8025	422.308	421.5189	 	89.9798	65.0334	41.6328	296.7577	32.3714	7.1256
32.4054	367.7819	295.0671	488.8436	278.7976	278.8672	441.0462	441.5636	 	99.5325	66.1918	49.9989	298.3384	36.3834	4.0758
32.6122	368.1556	301.3579	529.607	307.3824	276.4965	511.6611	452.3357	 	102.6073	61.0115	58.62	314.5983	41.8883	7.9412
32.8189	357.5538	311.2464	500.3969	351.0633	300.3825	559.4731	481.2	 	111.8055	65.1092	65.6239	327.2918	44.9487	7.2316
33.0257	355.5306	317.8759	484.4588	329.901	324.9614	493.6694	450.0969	 	115.9207	70.7908	57.944	339.4954	40.1432	3.9501
33.2325	364.8485	316.1691	492.3953	295.7903	335.4503	436.4997	465.4703	 	122.1353	75.3831	60.4298	350.327	42.9829	2.172
33.4393	379.394	291.2806	533.3443	279.4707	329.2474	408.2797	472.6516	 	127.8043	79.5496	58.9482	365.0759	43.8509	5.0921
33.646	397.5305	272.8865	560.7676	275.5965	331.3236	438.8554	418.9053	 	132.5128	74.8474	54.1993	375.0266	46.4771	10.2564
33.8528	416.3475	263.3937	537.6591	281.6764	336.0013	483.1381	385.0778	 	130.7038	75.2332	66.8002	379.5952	56.0782	12.0704
34.0596	450.9784	261.1639	571.5688	302.9127	322.6069	478.2939	395.2233	 	134.427	84.568	67.7619	391.1456	56.2178	8.8725
34.2663	471.9317	258.8996	598.8916	281.5375	314.4137	463.6387	422.9651	 	134.3034	87.9694	72.3553	400.7184	52.9906	8.8288
34.4731	508.4497	266.7727	615.1988	266.8398	319.1184	453.3763	419.7635	 	137.6189	93.9504	77.3343	401.6687	57.6395	10.3056
34.6799	553.9207	283.4446	592.5847	270.6417	332.2519	460.2199	425.2221	 	145.5616	96.4636	79.7028	410.1465	57.43	9.0689
34.8867	592.1285	306.9743	559.4141	315.7346	343.486	518.197	446.8882	 	151.0895	102.1242	79.3753	427.4806	59.4028	5.3951
35.0934	628.1259	314.2822	600.9619	334.0811	352.2698	516.0428	452.2969	 	159.6511	110.467	84.5556	443.5805	63.0849	5.844
35.3002	678.3327	294.6981	660.6924	277.9005	398.28	448.3331	425.6689	 	167.7557	111.3027	84.7145	467.1324	58.5317	8.3105
35.507	687.0833	303.1738	663.8623	263.3226	427.9284	430.3558	416.9191	 	170.8965	106.0619	91.1648	484.58	63.6959	9.1548
35.7137	721.7663	346.8066	666.7106	250.667	424.219	412.3358	397.0424	 	178.044	102.791	96.1679	503.1982	72.2281	12.4636
35.9205	734.0445	354.0464	661.1992	233.8664	404.0344	399.2426	371.2137	 	182.4937	110.9743	93.5048	511.3492	68.5166	8.709
36.1273	758.1531	328.9525	653.9149	237.3857	356.6278	379.599	359.9951	 	180.673	120.192	98.3902	512.0172	66.4603	14.6124
36.334	791.2001	326.8191	684.4125	263.4055	350.2272	383.43	366.8409	 	189.3836	120.9877	99.6127	520.4835	73.9764	9.9132
36.5408	844.4761	324.491	676.3297	288.5664	354.3816	427.1202	380.104	 	189.4955	118.99	106.9805	539.7179	70.5423	6.3929
36.7476	914.255	332.8175	625.8171	323.0516	337.3098	466.8508	403.2633	 	198.4021	123.4691	105.6766	568.8489	69.5189	5.4557
36.9544	1043.1068	350.843	602.6033	350.9122	312.9351	486.957	441.9273	 	205.4289	134.1673	112.5232	574.562	68.498	1.5625
37.1611	1228.7938	342.6386	603.1283	356.7457	354.5078	468.6517	551.7133	 	197.3367	128.6055	108.0602	556.7418	72.0911	1.5626
37.3679	1474.2683	324.1906	616.1698	343.6838	368.8121	503.1174	625.0714	 	206.5876	128.3709	116.4253	559.5045	84.3012	6.649
37.5747	1808.8634	376.3014	653.5932	337.8852	374.3986	538.8039	582.7598	 	215.742	137.0952	126.2307	600.6321	87.1276	11.924
37.7814	2251.7998	412.1039	681.434	360.4847	359.2775	505.7889	524.4863	 	223.8486	144.6764	131.1278	636.0758	90.933	9.253
37.9882	2839.068	407.2878	709.1505	407.906	360.1345	531.4407	494.0608	 	237.2508	160.098	137.5061	659.4077	97.2401	7.5891
38.195	3472.9377	362.3263	777.1139	419.1805	391.05	513.3817	500.7678	 	243.4471	171.508	145.4661	713.7578	100.1715	6.9051
38.4018	4227.7659	366.1866	841.8519	413.7008	420.2415	535.1681	524.6169	 	261.2534	189.5569	155.3449	739.1459	104.7536	4.0046
38.6085	5155.7329	378.3476	860.124	450.1459	425.0832	564.7081	568.084	 	280.3125	192.9016	164.786	773.0812	116.2549	6.5913
38.8153	6168.8879	380.2248	876.9926	490.9828	427.7592	624.1564	587.8836	 	291.9771	196.7198	174.5018	814.1514	122.314	10.9543
39.0221	7168.9461	408.4203	842.4752	493.1264	465.8637	600.4124	561.7084	 	309.4808	206.6546	188.7413	827.9928	122.9096	11.5486
39.2288	8227.7334	416.1651	814.6476	465.936	528.1898	632.2849	554.0046	 	320.5594	201.382	203.169	867.9636	118.2343	6.9703
39.4356	9066.2258	435.3859	885.339	429.2587	524.2616	682.1126	507.1002	 	326.5687	206.829	205.4578	847.8639	132.5884	8.0133
39.6424	9688.5955	498.6487	960.1145	401.4516	494.3993	710.8813	499.157	 	346.0335	216.5075	207.329	870.2267	143.2932	12.5949
39.851	10239.1355	556.7996	879.9558	428.1983	464.7024	800.83	537.7062	 	350.6743	211.504	201.2224	893.5394	147.8511	10.4408
40.1012	10325.5521	603.4735	826.6322	461.1943	438.2602	853.3783	534.4437	 	367.5932	212.2678	205.5018	910.272	142.3857	9.6558
40.4003	10079.4818	626.0631	858.6041	500.8448	429.2824	857.4429	534.3879	 	372.5043	229.4128	223.1945	937.3092	143.0035	15.0448
40.7154	9638.306	575.4447	903.8437	533.7256	440.7066	813.5465	567.5228	 	390.0907	228.8974	235.8054	978.656	148.9905	11.5092
41.0305	8872.9176	563.515	949.6745	538.9819	511.288	777.3795	607.5797	 	423.0898	246.4193	238.2786	997.058	151.2373	4.9877
41.3456	7885.2754	575.2618	938.6295	546.7495	588.2277	792.4095	635.9059	 	442.0479	257.7383	245.2241	1039.177	169.9217	5.1076
41.6608	6841.4564	594.2144	917.4182	579.5751	570.2935	802.8087	667.1279	 	449.4075	257.0434	251.3054	1092.8968	171.9625	6.7973
41.9759	5747.9303	586.6265	904.9539	592.4083	542.3942	814.7295	709.5327	 	459.7646	266.1089	262.0854	1117.5868	181.8953	5.2425
42.291	4671.8034	578.5964	892.1337	566.2879	565.3412	812.8314	782.1991	 	480.3384	268.5298	269.6083	1146.0971	196.5994	4.2968
42.6061	3743.9188	587.0623	895.3941	593.2695	635.3186	794.8056	918.9109	 	497.4519	265.9679	287.7944	1123.9535	205.1063	13.3824
42.9212	2972.3874	604.2651	955.9293	622.0218	662.0532	809.5702	943.3074	 	499.3787	271.5098	291.6015	1111.0342	200.3363	17.8994
43.2363	2311.8211	613.0511	1053.8706	587.515	648.9355	839.1984	1041.057	 	489.6474	269.3174	286.8873	1100.7525	192.7114	20.0705
43.5514	1759.3665	593.1472	1075.9981	575.3776	690.5012	877.6494	1175.2967	 	479.528	266.15	279.5147	1080.9625	192.4854	9.683
43.8665	1370.3195	580.8781	1097.0263	582.84	747.3815	897.639	1270.0401	 	471.1626	259.388	279.5356	1079.2805	190.7164	11.911
44.1816	1082.9735	606.0914	1066.8229	609.0373	739.6043	839.6611	1106.7674	 	459.7241	248.5954	274.82	1080.3842	182.913	11.626
44.4967	858.6297	656.0391	1080.3974	605.2287	746.2374	800.0842	995.2937	 	455.0053	255.508	284.198	1113.9043	183.754	10.911
44.8118	708.5797	671.0077	1110.8349	516.7854	747.9038	867.9459	969.246	 	451.0831	261.2757	275.1526	1138.1131	190.3226	14.2578
45.1269	625.7767	644.1749	1124.0696	479.6763	801.8086	954.4857	958.5395	 	451.5979	268.0504	284.6331	1131.8481	188.3527	8.7196
45.442	550.7116	649.6524	1172.516	481.1762	861.2217	981.2789	1015.3261	 	462.1009	280.3249	297.0315	1148.9378	185.7227	8.9162
45.7572	490.833	667.4757	1190.5987	492.479	825.6437	961.3058	985.6486	 	466.2516	279.3913	306.4951	1153.6283	186.3591	8.448
46.0723	459.5977	696.7626	1140.0772	511.998	794.106	940.1704	891.278	 	469.2895	274.8186	309.7221	1167.588	194.3469	13.6988
46.3874	447.0844	665.5778	1115.5443	512.833	853.6958	971.4945	909.9778	 	475.5307	274.5929	319.1804	1207.4786	204.3173	11.0397
46.7025	443.3402	659.5298	1158.2424	566.3963	870.2072	1045.9467	879.8045	 	496.4913	277.4314	321.3865	1220.4459	197.523	8.1423
47.0176	444.4425	670.709	1201.1159	595.0447	828.0783	1086.1071	908.8409	 	500.9934	285.8039	329.9323	1242.386	201.142	9.3288
47.3327	450.6102	722.3768	1206.8343	608.443	867.8549	1111.6925	975.4	 	511.9894	297.4607	330.9124	1266.3986	214.6258	4.4814
47.6478	449.6419	793.0199	1209.7241	637.9033	876.9033	1211.6825	974.9835	 	520.8703	313.4858	341.1976	1267.3963	213.4677	14.7502
47.9629	439.4463	834.4061	1306.994	674.5829	899.7593	1264.6114	927.2799	 	526.3732	320.6827	348.9896	1275.1267	213.5668	12.6965
48.278	441.3164	912.5885	1504.5325	693.9406	949.5227	1229.5639	944.0405	 	551.5236	322.7265	352.0767	1295.2183	226.6085	13.7543
48.5931	448.3446	942.7365	1592.6518	746.3978	947.1297	1169.2971	972.6185	 	563.43	325.5172	359.1599	1291.8241	230.9159	8.8527
48.9082	443.8376	925.7114	1632.9142	793.4046	964.6366	1198.1679	1015.2795	 	564.7507	317.9506	349.7933	1298.6161	232.3817	8.9846
49.2233	452.5003	919.5237	1738.3284	804.5683	1015.1077	1268.3732	1069.8059	 	583.1725	320.018	359.7218	1319.0813	223.0014	11.3542
49.5384	459.0758	870.8431	1758.2856	806.8814	1022.9394	1430.9725	1188.6152	 	598.5711	328.5748	383.4414	1322.9091	225.4184	10.221
49.8536	468.3619	863.8182	1751.0551	830.4854	1024.9611	1536.1774	1329.4534	 	596.236	337.9088	378.6872	1347.8639	230.997	9.0647
50.1687	460.8237	921.8458	1697.4069	844.8163	1054.3284	1565.744	1440.3138	 	591.0967	338.1296	372.2059	1366.5512	230.8971	10.866
50.4838	454.5519	970.3924	1664.6939	881.3836	1038.5874	1669.549	1424.0241	 	589.9794	345.5653	385.4636	1380.0728	228.1847	8.9222
50.7989	454.5912	1000.096	1723.0596	890.8877	1097.3619	1700.6174	1336.8435	 	599.4745	344.2788	391.3657	1384.9505	236.3324	6.6425
51.114	463.8063	1062.284	1825.977	884.9031	1238.1406	1566.5178	1322.2505	 	612.4903	341.8678	401.095	1408.1911	242.9093	3.4275
51.4291	473.1742	1121.2923	1855.5476	898.5832	1299.3178	1523.0582	1341.0176	 	609.4936	358.7992	410.1291	1444.3394	254.4604	11.0583
51.7442	484.7719	1137.3185	1817.7947	916.2505	1303.6115	1547.1947	1357.3967	 	613.1074	374.6149	415.1228	1444.4672	260.7534	7.656
52.0593	511.0613	1181.6237	1800.4639	985.9957	1373.886	1597.3396	1409.0386	 	622.9504	370.3736	427.1717	1433.0938	268.7262	10.4182
52.3744	532.2715	1288.0255	1868.1122	1037.5416	1453.2486	1622.2741	1402.1494	 	628.7936	365.0191	416.4749	1476.1713	266.6804	12.4929
52.6895	558.6625	1341.8424	1954.0435	1033.5667	1600.441	1646.4323	1481.5146	 	645.4886	376.8136	402.553	1489.2221	273.9117	15.3887
53.0046	573.4586	1337.184	2054.3565	1083.8213	1645.2331	1614.9587	1530.3062	 	653.0304	369.6256	410.3607	1493.116	277.9528	17.3906
53.3197	545.5563	1366.8459	2068.322	1197.724	1706.8352	1567.6654	1475.5292	 	668.9594	387.345	418.9915	1522.1255	277.7131	11.4975
53.6348	516.1234	1414.7441	1994.7975	1271.6342	1733.0746	1522.8692	1507.4559	 	699.3999	389.4839	438.8866	1545.1322	272.4284	7.8361
53.95	512.7441	1460.7381	1919.5092	1248.5232	1580.6179	1480.654	1551.4401	 	718.3255	407.1137	445.6192	1569.2674	279.4528	7.6008
54.2651	495.6292	1480.9537	1865.4763	1312.9635	1436.5515	1579.5445	1562.1616	 	736.825	431.4583	453.2897	1617.069	295.1449	12.0286
54.5802	473.6015	1441.2552	1787.6118	1183.8487	1440.2625	1648.5837	1655.3905	 	762.6322	429.8658	487.1025	1656.6717	306.4128	15.0891
54.8953	454.1612	1433.1497	1745.3551	1049.0707	1418.3332	1720.3798	1709.5419	 	792.1966	433.1276	496.6101	1699.8083	299.9807	11.0065
55.2104	445.6166	1424.1789	1723.6457	1059.8595	1333.5013	1707.9003	1613.5679	 	813.0222	440.3621	497.1941	1730.3715	309.5184	5.5183
